;key;generic;geometa_create_iso_19110;geometa_create_iso_19115;geonapi_publish_iso_19139;geosapi_publish_ogc_services;ows4R_publish_iso_19139;zen4R_deposit_record;eml_create_eml;atom4R_dataverse_deposit_record;dataone_upload_datapackage
Identifier;id;;;;;x;x;x;x;x;
Identifier;doi;;;;;;;x;x;x;
Identifier;packageIdÿ?;;;;;;;;;;x
Title;title;;x;x;;;;x;;;
Title;alternative;;x;x;;;;;;;
Description;abstract;;;x;;;;x;x;x;
Description;purpose;;;x;;;;;;;
Description;credit;;;x;;;;;;;
Description;info;;;x;;;;;;;
Description;edition;;;x;;;;;;;
Subject;;;;;;;;;;;
Creator;owner;;;;;;;;x;x;
Creator;metadata;;;;;;;;x;;
Creator;pointOfContact;;;;;;;;x;;
Creator;publisher;;;;;;;;x;x;
Date;publication;;;;;;;x;x;;
Date;creation;;;;;;;;;x;
Type;generic;;;;;;;x;;x;
Type;zenodoUploadType;;;;;;;x;;;
Type;zenodoPublicationType;;;;;;;x;;;
Type;zenodoImageType;;;;;;;x;;;
Language;;;;;;;;;x;;
SpatialCoverage;;;;;;;;;;;
TemporalCoverage;;;;;;;;;;;
Relation;thumbnail;;;x;;;;;x;;
Relation;resource;;;x;;;;;;;
Relation;parent;;;;;;;;x;;
Relation;http;;;;;;;;x;;
Relation;wms;;;;;;;;x;;
Relation;wfs;;;;;;;;x;;
Rights;use;;;x;;;;;;;
Rights;useConstraint;;;x;;;;;x;x;
Rights;accessConstraint;;;x;;;;;x;;
Rights;otherConstraint;;;x;;;;;x;;
Rights;license;;;;;;;;x;;
Provenance;;;;;;;;;;;
Format;;;;;;;;;;;
Data;;;;;;;;;;;
