"Identifier","Title","Description","Subject","Creator","Date","Type","Language","SpatialCoverage","TemporalCoverage","Relation","Rights","Provenance","Data"
"id:areas_conversion_factors_numtoweigth_ird","Conversion factors areas (conversion from number to weight) used in the IRD Tuna Atlas","abstract:Areas used for the conversion of catches from number of fishes harvested to weigth. These areas are known to have quite distinct average weights.
For additional information, see: http://mdst-macroes.ird.fr/documentation/databases/Sardara/docSardara/doc_processes/Weight_computation_manu.odt","","owner:ird@ird.fr,paul.taconet@ird.fr;alain.fonteneau@ird.fr_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:paul.taconet@ird.fr_
principalInvestigator:emmanuel.chassot@ird.fr","","dataset_codelist","eng","","","","","statement:Data management workflow_
process: The code list was integrated into the Tuna atlas database_
processor: paul.taconet@ird.fr","source:codelist.csv@https://drive.google.com/open?id=1QJflHHHRh6nUdyk0IOGQYEPsX7YZ-DzJ_
sourceType:other_
uploadSource:area.areas_conversion_factors_numtoweigth_ird_
uploadType:dbtable"
"id:areas_task1_iotc","Areas used in the Nominal catches (task 1) dataset of the IOTC","abstract:The areas used in the nominal catches (task 1) dataset of the Indian Ocean Tuna Commission (IOTC). These areas are the FAO fishing areas F51 and F57.
","","owner:ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:secretariat@iotc.org_
principalInvestigator:fabio.fiorellato@iotc.org","","dataset_codelist","eng","","","","","statement:Data management workflow_
process: The IOTC task  (nominal catch) public domain datasets was downloaded on the IOTC website._
process: The codes and labels used for areas in these datasets were identified. A code list for areas was reconstitued._
process: These areas correspond to the FAO fishing areas, hence, the geographical component of the code list was reconstitued from the FAO fishing area geospatial code list available and downlaoded here: http://www.fao.org/geonetwork/srv/en/main.home?uuid=aca-da-dc-d-fbd_
process: The code list was integrated into the Tuna atlas database_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr","source:codelist.csv@https://drive.google.com/open?id=1WwQFF-It7aa_W-mDU2WZ9iIZIeON2oVD_
sourceType:other_
uploadSource:area.areas_task1_iotc_
uploadType:dbtable"
"id:areas_tuna_rfmos_task1","Geospatial code list - areas used in catch-and-effort datasets (task 1) by the five tuna RFMOs","abstract:Code list for areas used in catch-and-efforts (task 1) datasets by the five tuna Regional Fisheries Management Organisations (IOTC, ICCAT, IATTC, WCPFC, CCSBT).
","","owner:ird@ird.fr,emmanuel.blondel@fao.org;carlos.palma@iccat.int;laurent.floch@ird.f_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:paul.taconet@ird.fr_
principalInvestigator:emmanuel.chassot@ird.fr","","dataset_codelist","eng","","","","","statement:Data management workflow_
process: The code lists used as input of this code list were downloaded/composed and integrated into the Tuna atlas database._
process: Trough a SQL query perfomed on the Tuna atlas database: the code list was generated by merging (UNION) all the source code lists._
processor: paul.taconet@ird.fr,paul.taconet@ird.fr","source:codelist.csv@https://drive.google.com/open?id=1ZzS01SB7EuhV1egzzwUk5NEraBfqJs9V_
sourceType:other_
uploadSource:area.areas_tuna_rfmos_task1_
uploadType:dbtable"
"id:areas_tuna_rfmos_task2","Geospatial code list - areas used in catch-and-effort datasets (task 2) by the five tuna RFMOs","abstract:Code list for areas used in catch-and-efforts (task 2) datasets by the five tuna Regional Fisheries Management Organisations (IOTC, ICCAT, IATTC, WCPFC, CCSBT).
","","owner:ird@ird.fr,fabio.fiorellato@iotc.org;emmanuel.blondel@fao.org;laurent.floch@ird.fr;carlos.palma@iccat.int_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:paul.taconet@ird.fr_
principalInvestigator:emmanuel.chassot@ird.fr","","dataset_codelist","eng","","","","","statement:Data management workflow_
process: The code lists used as input of this code list were downloaded/composed and integrated into the Tuna atlas database._
process: Trough a SQL query perfomed on the Tuna atlas database: the code list was generated by merging (UNION) all the source code lists._
processor: paul.taconet@ird.fr,paul.taconet@ird.fr","source:codelist.csv@https://drive.google.com/open?id=1-5xXu97gLhnHdPUuEfDWL89lLQc_H1kR_
sourceType:other_
uploadSource:area.areas_tuna_rfmos_task2_
uploadType:dbtable"
"id:catchtype_ccsbt","Code list for types of catch used by CCSBT","abstract:Code list for types of catches used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). Presently, the CCSBT does not have any catch type code list, since the public datasets do not contain a catch type stratification. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.
","","owner:ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:CMillar@ccsbt.org_
principalInvestigator:CMillar@ccsbt.org","","dataset_codelist","eng","","","","","statement:Data management workflow_
process: The code list was constitued. _
process: The code list was integrated into the Tuna atlas database_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr","source:codelist.csv@https://drive.google.com/open?id=1pHUHgVjEluKarUYZVzkoGyAlOSPPvpPj_
sourceType:other_
uploadSource:catchtype.catchtype_ccsbt_
uploadType:dbtable"
"id:catchtype_iattc","Code list for types of catch used by IATTC","abstract:Code list for types of catches used by the Inter-American Tropical Tuna Commission (IATTC). Presently, the IATTC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.
","","owner:ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:info@iattc.org_
principalInvestigator:nvogel@iattc.org","","dataset_codelist","eng","","","","","statement:Data management workflow_
process: The code list was constitued. _
process: The code list was integrated into the Tuna atlas database_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr","source:codelist.csv@https://drive.google.com/open?id=1arYv4BxxWICnWJYn8C6MntXlVTi_jlp1_
sourceType:other_
uploadSource:catchtype.catchtype_iattc_
uploadType:dbtable"
"id:catchtype_iccat","Code list for types of catch used by ICCAT","abstract:Code list for types of catches used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input the ICCAT nominal catch (task 1) dataset.
","","owner:ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:info@iccat.int_
principalInvestigator:carlos.palma@iccat.int","","dataset_codelist","eng","","","","","statement:Data management workflow_
process: The ICCAT nominal catch (task) public domain datasets was downloaded._
process: The codes and labels used for types of catch in this dataset were identified. A code list for types of catch was reconstitued._
process: The code list was integrated into the Tuna atlas database_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr","source:codelist.csv@https://drive.google.com/open?id=1XnDVhFvdra40DQCC7-03RZuDkDWNBVVr_
sourceType:other_
uploadSource:catchtype.catchtype_iccat_
uploadType:dbtable"
"id:catchtype_iotc","Code list for types of catch used by IOTC","abstract:Code list for types of catches used by the Indian Ocean Tuna Commission (IOTC). Presently, the IOTC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.
","","owner:ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:secretariat@iotc.org_
principalInvestigator:fabio.fiorellato@iotc.org","","dataset_codelist","eng","","","","","statement:Data management workflow_
process: The code list was constitued. _
process: The code list was integrated into the Tuna atlas database_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr","source:codelist.csv@https://drive.google.com/open?id=1Im0bkYREQMXBIEAeZdy4gWZmz8JbbZ3f_
sourceType:other_
uploadSource:catchtype.catchtype_iotc_
uploadType:dbtable"
"id:catchtype_tunaatlas","Code list for types of catch used in the IRD Tuna Atlas","abstract:Code list for types of catch used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas.
","","owner:ird@ird.fr,paul.taconet@ird.fr_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:paul.taconet@ird.fr_
principalInvestigator:emmanuel.chassot@ird.fr","","dataset_codelist","eng","","","","","statement:Data management workflow_
process: The code lists used by the five tuna RFMOs for types of catch were collated._
process: Based on these code lists, a single code list gathering all the types of catch used by the tuna RFMOs was created._
process: The code list was integrated into the Tuna atlas database._
processor: paul.taconet@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr","source:codelist.csv@https://drive.google.com/open?id=10zeI23dZ6QoFw7K2MZqVWGI1PCwyYuP0_
sourceType:other_
uploadSource:catchtype.catchtype_tunaatlas_
uploadType:dbtable"
"id:catchtype_wcpfc","Code list for types of catch used by WCPFC","abstract:Code list for types of catches used by the Western and Central Pacific Fisheries Commission (WCPFC). Presently, WCPFC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data  within the Sardara database.
","","owner:ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int_
metadata:paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org_
pointOfContact:wcpfc@wcpfc.int_
principalInvestigator:PeterW@spc.int","","dataset_codelist","eng","","","","","statement:Data management workflow_
process: The code list was constitued. _
process: The code list was integrated into the Tuna atlas database_
processor: paul.taconet@ird.fr,paul.taconet@ird.fr","source:codelist.csv@https://drive.google.com/open?id=1RPS0UGRSwny00HJI19evHIQ-mypicUvF_
sourceType:other_
uploadSource:catchtype.catchtype_wcpfc_
uploadType:dbtable"
